property_type;state;lat;lon;area_m2;price_usd
house;Estado de México;19.560.181;-99.233.528;150.0;$67,965.56
house;Nuevo León;256.884.355;-1.001.988.071;186.0;$63,223.78
apartment;Guerrero;16.767.704;-99.764.383;82.0;$84,298.37
apartment;Guerrero;16.829.782;-99.911.012;150.0;$94,308.80
house;Veracruz de Ignacio de la Llave;;;175.0;$94,835.67
house;Yucatán;210.525.830.247;-895.386.385.918;205.0;$105,191.37
house;Querétaro;207.163.149;-1.004.525.027;320.0;$274,034.68
house;Querétaro;;;202.0;$43,202.91
house;Nuevo León;;;90.0;$34,254.33
house;Morelos;188.126.047;-989.548.261;281.0;$151,509.56
house;Chiapas;16.769.737;-93.088.928;140.0;$79,029.72
house;Estado de México;19.305.407.331;-99.646.948.278;235.0;$115,937.75
house;Morelos;18.804.197;-98.932.816;117.0;$63,223.78
apartment;Guerrero;16.775.165;-99.789.939;117.0;$157,269.15
house;Yucatán;210.483.333;-896.780.555;193.0;$104,607.47
house;Estado de México;19.560.181;-99.233.528;85.0;$63,238.77
house;Tabasco;180.140.820.847;-92.896.399.498;135.0;$77,994.48
apartment;Distrito Federal;19.390.748;-99.158.695;127.0;$131,716.20
apartment;Yucatán;213.371.507.411;-893.226.885.796;208.0;$203,167.10
house;Distrito Federal;19.337.652;-992.233.268;297.0;$264,390.77
house;Nayarit;21.518.174;-1.049.074.948;173.0;$63,238.77
house;Morelos;18.855.343;-99.241.142;73.0;$36,775.16
apartment;Puebla;190.248.763;-981.945.109;170.0;$173,570.30
apartment;Distrito Federal;19.403.334;-99.157.755;129.0;$131,716.20
apartment;Distrito Federal;19.428.152;-99.106.194;68.0;$67,175.26
house;Puebla;18.991.881;-98.275.275;334.0;$262,905.55
house;Veracruz de Ignacio de la Llave;25.624.891;-103.397.214;106.0;$40,041.72
house;Yucatán;20.997.143;-89.601.028;132.0;$64,556.24
house;Sinaloa;23.239.141;-106.412.613;104.0;$44,783.51
apartment;Distrito Federal;19.430.141;-99.172.536;97.0;$104,846.10
apartment;Guerrero;;;150.0;$102,763.00
house;Estado de México;19.538.595;-99.180.214;200.0;$158,059.45
house;Morelos;;;170.0;$118,544.58
apartment;Yucatán;21.030.668;-89.599.258;80.0;$84,845.35
house;Tabasco;178.931.239.971;-929.212.732.315;70.0;$39,514.86
house;Chiapas;16.717.077;-93.162.903;240.0;$158,059.45
house;Puebla;;;194.0;$131,716.20
house;Chihuahua;;;150.0;$51,644.99
house;Tamaulipas;223.261.979;-978.885.244;188.0;$92,223.21
house;Yucatán;210.231.861;-895.863.038;253.0;$129,639.48
apartment;Distrito Federal;1.939.365;-9.914.769;128.0;$120,125.18
house;Veracruz de Ignacio de la Llave;25.569.582;-10.333.239;350.0;$158,059.45
house;Morelos;;;240.0;$210,745.93
house;Veracruz de Ignacio de la Llave;25.581.369;-103.377.648;133.0;$51,632.75
house;Morelos;;;220.0;$263,494.89
house;Puebla;190.412.967;-982.061.996;250.0;$155,461.98
house;Distrito Federal;19.390.301;-9.911.161;187.0;$126,447.56
apartment;Puebla;;;106.0;$149,755.74
house;Veracruz de Ignacio de la Llave;19.101.803;-96.163.884;127.0;$51,662.25
apartment;Puebla;19.026.517;-98.214.364;102.0;$97,598.50
house;Jalisco;23.634.501;-102.552.788;107.0;$57,955.13
house;Yucatán;21.075.163;-89.516.731;242.0;$108,534.15
house;Distrito Federal;193.605.334;-992.267.067;245.0;$247,626.47
apartment;Distrito Federal;19.351.369;-99.248.993;90.0;$86,300.46
apartment;Distrito Federal;19.412.142;-99.146.127;75.0;$44,794.13
apartment;Puebla;18.987.232;-98.206.947;93.0;$40,841.70
apartment;San Luis Potosí;;;155.0;$144,922.18
house;Estado de México;19.715.134;-99.214.828;126.0;$95,309.84
house;Distrito Federal;19.374.069;-9.901.932;300.0;$150,719.07
house;San Luis Potosí;22.133.745;-101.016.029;132.0;$81,683.41
house;Morelos;18.804.197;-98.932.816;130.0;$65,858.10
apartment;Yucatán;210.294.432;-896.322.061;237.0;$192,087.77
house;Sinaloa;248.093.254;-1.074.692.179;96.0;$60,603.82
apartment;Distrito Federal;1.933.923;-99.218.987;102.0;$237,089.17
house;Baja California;32.493.049;-116.907.481;76.0;$41,095.45
house;Hidalgo;201.254.846;-987.362.998;229.0;$158,096.93
house;Morelos;18.960.244;-99.212.962;305.0;$227,351.46
house;Puebla;23.634.501;-102.552.788;128.0;$67,438.69
house;Estado de México;195.380.802.461;-992.384.793.394;240.0;$136,984.85
