property_type;state;lat;lon;area_m2;price_mxn
apartment;Nuevo Le¢n;25.721.081;-100.345.581;72.0;1300000.0
apartment;Puebla;;;190.0;2500000.0
house;Morelos;23.634.501;-102.552.788;360.0;5300000.0
house;Morelos;;;76.0;820000.0
house;Puebla;;;200.0;1100000.0
house;San Luis Potos¡;;;162.0;1860000.0
apartment;Estado de M‚xico;192.720.402;-99.572.013;85.0;1250000.0
house;San Luis Potos¡;221.388.821.177;-1.009.965.100.633;158.0;2120000.0
apartment;Distrito Federal;19.394.558;-99.129.707;65.0;758190.0
house;Morelos;;;216.0;2750000.0
house;Veracruz de Ignacio de la Llave;191.680.666;-96.160.663;100.0;670000.0
apartment;Distrito Federal;193.261.962.968;-99.140.586.108;74.0;2990000.0
house;Yucat n;210.552.216;-896.583.682;220.0;2137000.0
house;Chihuahua;28.691.416;-10.613.604;236.0;2100000.0
house;Morelos;;;277.0;5700000.0
apartment;Jalisco;20.641.428;-103.417.295;85.0;1690000.0
house;San Luis Potos¡;22.126.078;-100.944.672;131.0;1045000.0
house;Puebla;190.364.236.166;-981.994.184.107;337.0;3100000.0
apartment;Distrito Federal;19.367.239;-99.186.126;92.0;3500000.0
apartment;Guerrero;16.851.935;-99.844.955;195.0;2000000.0
house;Veracruz de Ignacio de la Llave;19.153.019;-9.612.487;207.0;2750000.0
house;Nuevo Le¢n;257.501.328.883;-1.002.701.137.385;280.0;1990000.0
apartment;Estado de M‚xico;19.536.253;-99.240.456;99.0;1250000.0
house;Chiapas;19.673.779;-101.187.927;210.0;2600000.0
house;Baja California;324.690.603;-1.168.196.303;111.0;1366313.0
house;Yucat n;21.030.771;-89.646.347;150.0;1200000.0
house;Chiapas;16.717.077;-93.162.903;170.0;1800000.0
house;Morelos;18.813.908;-99.201.675;86.0;1000000.0
apartment;Distrito Federal;19.473.001;-99.087.491;79.0;680990.0
house;Yucat n;21.072.905;-8.965.963;190.0;1850000.0
house;Quer‚taro;20.618.279;-100.346.985;237.0;3000000.0
house;Yucat n;21.075.163;-89.516.731;300.0;2190000.0
house;Guerrero;168.659.727.494;-998.717.173.934;300.0;2500000.0
house;Chiapas;;;270.0;3300000.0
house;Estado de M‚xico;;;350.0;4000000.0
house;Veracruz de Ignacio de la Llave;25.582.705;-103.376.805;232.0;1550000.0
house;Yucat n;21.017.197;-89.574.516;220.0;1750000.0
house;Hidalgo;20.036.614;-9.877.615;295.0;1800000.0
house;Yucat n;210.399.331;-895.965.747;240.0;1890000.0
house;Morelos;18.893.921;-99.221.429;160.0;2850000.0
house;Aguascalientes;;;140.0;650000.0
house;Veracruz de Ignacio de la Llave;25.545.829;-10.338.708;115.0;1100000.0
house;Quintana Roo;21.139.086;-8.684.964;290.0;2250000.0
house;Chiapas;19.681.248;-101.209.167;180.0;1350000.0
apartment;Distrito Federal;19.271.467;-99.146.309;98.0;2486000.0
house;Chiapas;19.724.886;-101.118.018;120.0;1400000.0
house;Estado de M‚xico;19.420.156;-99.249.458;378.0;6100000.0
apartment;Puebla;;;212.0;5368000.0
house;Guanajuato;20.684.505;-101.406.695;280.0;3600000.0
house;Guanajuato;;;150.0;1900000.0
house;Puebla;18.984.862;-98.222.234;299.0;4400000.0
house;Distrito Federal;19.289.286;-99.158.066;140.0;2360000.0
house;San Luis Potos¡;22.150.696;-101.010.025;172.0;1540000.0
apartment;Distrito Federal;19.444.924;-99.139.843;60.0;879333.0
house;Tabasco;18.017.324;-92.899.362;98.0;700000.0
house;Puebla;19.014.643;-98.170.731;286.0;4950000.0
house;Estado de M‚xico;;;270.0;6000000.0
house;Tamaulipas;22.258.686;-97.851.753;163.0;2000000.0
house;Distrito Federal;19.378.482;-99.220.795;100.0;3820163.0
house;Morelos;1.893.409;-99.254.997;240.0;3400000.0
house;Yucat n;;;385.0;5950000.0
house;Yucat n;210.315.095;-89.600.513;325.0;3550000.0
apartment;Yucat n;21.072.905;-8.965.963;190.0;3500000.0
apartment;Morelos;18.923.538;-99.241.848;110.0;1100000.0
apartment;Distrito Federal;;;92.0;1280000.0
house;Quer‚taro;20.681.293;-100.329.622;155.0;1850000.0
apartment;Puebla;;;121.0;2390000.0
house;Morelos;18.821.062;-98.949.371;120.0;1320000.0
apartment;Guerrero;168.531.086;-998.236.533;141.0;2300000.0
apartment;Puebla;19.049.024;-98.281.669;127.0;1690000.0
house;Tamaulipas;223.400.533.557;-978.860.995.173;165.0;1700000.0
house;Morelos;18.862.602;-99.213.448;145.0;1850000.0
apartment;Morelos;;;105.0;1840000.0
apartment;Yucat n;21.018.724;-89.589.836;60.0;895000.0
house;Jalisco;20.569.456;-10.350.165;176.0;2350000.0
house;Yucat n;;;296.0;2600000.0
apartment;Distrito Federal;193.934.457;-991.796.926;100.0;5304678.0
house;Puebla;;;92.0;960000.0
apartment;Distrito Federal;19.436.024;-9.915.461;64.0;4500000.0
apartment;Distrito Federal;19.378.009;-99.193.543;180.0;1485600.0
apartment;Distrito Federal;19.416.294;-9.916.748;117.0;5499000.0
house;Quer‚taro;;;134.0;1690000.0
house;Morelos;18.859.078;-99.176.287;82.0;760000.0
house;Quer‚taro;20.692.161;-100.465.025;258.0;2800000.0
house;Quer‚taro;20.394.361;-99.973.053;120.0;1400000.0
house;Baja California;32.453.504;-117.038.495;111.0;1366313.0
