property_type;state;lat;lon;area_m2;price_usd
house;Estado de M‚xico;19.560.181;-99.233.528;150.0;67965.56
house;Nuevo Le¢n;256.884.355;-1.001.988.071;186.0;63223.78
apartment;Guerrero;16.767.704;-99.764.383;82.0;84298.37
apartment;Guerrero;16.829.782;-99.911.012;150.0;94308.8
house;Yucat n;210.525.830.247;-895.386.385.918;205.0;105191.37
house;Quer‚taro;207.163.149;-1.004.525.027;320.0;274034.68
house;Morelos;188.126.047;-989.548.261;281.0;151509.56
house;Chiapas;16.769.737;-93.088.928;140.0;79029.72
house;Estado de M‚xico;19.305.407.331;-99.646.948.278;235.0;115937.75
house;Morelos;18.804.197;-98.932.816;117.0;63223.78
apartment;Guerrero;16.775.165;-99.789.939;117.0;157269.15
house;Yucat n;210.483.333;-896.780.555;193.0;104607.47
house;Estado de M‚xico;19.560.181;-99.233.528;85.0;63238.77
house;Tabasco;180.140.820.847;-92.896.399.498;135.0;77994.48
apartment;Distrito Federal;19.390.748;-99.158.695;127.0;131716.2
apartment;Yucat n;213.371.507.411;-893.226.885.796;208.0;203167.1
house;Distrito Federal;19.337.652;-992.233.268;297.0;264390.77
house;Nayarit;21.518.174;-1.049.074.948;173.0;63238.77
house;Morelos;18.855.343;-99.241.142;73.0;36775.16
apartment;Puebla;190.248.763;-981.945.109;170.0;173570.3
apartment;Distrito Federal;19.403.334;-99.157.755;129.0;131716.2
apartment;Distrito Federal;19.428.152;-99.106.194;68.0;67175.26
house;Puebla;18.991.881;-98.275.275;334.0;262905.55
house;Veracruz de Ignacio de la Llave;25.624.891;-103.397.214;106.0;40041.72
house;Yucat n;20.997.143;-89.601.028;132.0;64556.24
house;Sinaloa;23.239.141;-106.412.613;104.0;44783.51
apartment;Distrito Federal;19.430.141;-99.172.536;97.0;104846.1
house;Estado de M‚xico;19.538.595;-99.180.214;200.0;158059.45
apartment;Yucat n;21.030.668;-89.599.258;80.0;84845.35
house;Tabasco;178.931.239.971;-929.212.732.315;70.0;39514.86
house;Chiapas;16.717.077;-93.162.903;240.0;158059.45
house;Tamaulipas;223.261.979;-978.885.244;188.0;92223.21
house;Yucat n;210.231.861;-895.863.038;253.0;129639.48
apartment;Distrito Federal;1.939.365;-9.914.769;128.0;120125.18
house;Veracruz de Ignacio de la Llave;25.569.582;-10.333.239;350.0;158059.45
house;Veracruz de Ignacio de la Llave;25.581.369;-103.377.648;133.0;51632.75
house;Puebla;190.412.967;-982.061.996;250.0;155461.98
